"","year","gini","gini_smoothed","gini_fit_exp","gini_fit_linear"
"1",1972,1,1,1.02525551785952,0.807770894772453
"2",1973,NA,NA,0.985827648490605,0.793157631622634
"3",1974,NA,NA,0.947916042000431,0.778544368472815
"4",1975,NA,NA,0.911462388032554,0.763931105323
"5",1976,NA,NA,0.876410618650157,0.749317842173181
"6",1977,NA,NA,0.842706822100187,0.734704579023362
"7",1978,NA,NA,0.810299159893753,0.720091315873542
"8",1979,NA,NA,0.779137787075447,0.705478052723727
"9",1980,NA,NA,0.749174775558723,0.690864789573908
"10",1981,NA,NA,0.72036404040961,0.676251526424089
"11",1982,NA,NA,0.692661268965236,0.66163826327427
"12",1983,NA,NA,0.666023852678321,0.647025000124454
"13",1984,NA,NA,0.640410821582602,0.632411736974635
"14",1985,NA,NA,0.615782781278546,0.617798473824816
"15",1986,NA,NA,0.592101852342337,0.603185210674997
"16",1987,NA,NA,0.569331612065068,0.588571947525182
"17",1988,NA,NA,0.547437038432371,0.573958684375363
"18",1989,NA,NA,0.526384456258435,0.559345421225544
"19",1990,NA,NA,0.506141485391501,0.544732158075725
"20",1991,NA,NA,0.48667699091126,0.530118894925909
"21",1992,NA,NA,0.467961035241423,0.51550563177609
"22",1993,NA,NA,0.449964832103924,0.500892368626271
"23",1994,NA,NA,0.432660702243842,0.486279105476452
"24",1995,NA,NA,0.416022030857068,0.471665842326637
"25",1996,0.468198448844303,NA,0.400023226655098,0.457052579176818
"26",1997,0.456944842629849,NA,0.384639682504051,0.442439316026999
"27",1998,0.452023285836805,0.414260873598008,0.369847737577445,0.42782605287718
"28",1999,0.4228289635201,0.377558330410476,0.355624640964376,0.413212789727364
"29",2000,0.271308827158982,0.3424552032082,0.341948516677247,0.398599526577545
"30",2001,0.284685732906644,0.316961887940322,0.328798330005149,0.383986263427726
"31",2002,0.281429206618471,0.304092768827685,0.316153855161228,0.369373000277907
"32",2003,0.324556709497415,0.297698536212506,0.303995644174171,0.354759737128092
"33",2004,0.358483367956914,0.294640706761698,0.292304996976053,0.340146473978272
"34",2005,0.239337664083085,0.263454528786356,0.281063932640482,0.325533210828453
"35",2006,0.269396585652606,0.242006859041707,0.270255161726863,0.310919947678634
"36",2007,0.125498316741761,0.225947620360891,0.259862059688171,0.296306684528819
"37",2008,0.217318360774169,0.222778765913429,0.249868641301393,0.281693421379
"38",2009,0.278187174552833,0.211940271584376,0.24025953608127,0.267080158229181
"39",2010,0.223493391845776,0.233920383667764,0.231019964639577,0.252466895079362
"40",2011,0.215204114007342,0.230001655551093,0.222135715953512,0.237853631929546
"41",2012,0.235398877158702,0.235119439951773,0.213593125508282,0.223240368779727
"42",2013,0.197724720190815,0.218476241448468,0.205379054280239,0.208627105629908
"43",2014,0.303776096556229,0.228556947378202,0.197480868528279,0.194013842480089
"44",2015,0.140277399329253,0.214803948027231,0.18988642036237,0.179400579330274
"45",2016,0.265607643656014,0.199826771583265,0.182584029059362,0.164787316180455
"46",2017,0.166633880403843,0.195447234651904,0.175562463097312,0.150174053030636
"47",2018,0.122838837970987,0.19438521070827,0.168810922880742,0.135560789880817
"48",2019,0.281878411899424,0.172408445196052,0.162319024130189,0.120947526731001
"49",2020,0.134967279611084,0.16412431140777,0.156076781910555,0.106334263581182
"50",2021,0.155723816094923,NA,0.150074595273666,0.0917210004313631
"51",2022,0.12521321146243,NA,0.144303232491441,0.0771077372815441
"52",2023,NA,NA,0.138753816856923,0.0624944741317286
"53",2024,NA,NA,0.133417813031363,0.0478812109819096
"54",2025,NA,NA,0.128287013916356,0.0332679478320905
"55",2026,NA,NA,0.123353528030824,0.0186546846822715
"56",2027,NA,NA,0.118609767373433,0.00404142153245601
"57",2028,NA,NA,0.114048435751788,-0.010571841617363
"58",2029,NA,NA,0.109662517560447,-0.0251851047671821
"59",2030,NA,NA,0.105445266990493,-0.0397983679170011
