"year","county_code","pop"
1996,"county03",529846
1996,"county11",384984
1996,"county15",238793
1996,"county18",237554
1996,"county30",1017532
1996,"county34",356710
1996,"county38",386214
1996,"county42",264872
1996,"county46",554178
1996,"county50",406737
1996,"county54",208095
1997,"county03",529846
1997,"county11",384984
1997,"county15",238793
1997,"county18",237554
1997,"county30",1017532
1997,"county34",356710
1997,"county38",386214
1997,"county42",264872
1997,"county46",554178
1997,"county50",406737
1997,"county54",208095
1998,"county03",529846
1998,"county11",384984
1998,"county15",238793
1998,"county18",237554
1998,"county30",1017532
1998,"county34",356710
1998,"county38",386214
1998,"county42",264872
1998,"county46",554178
1998,"county50",406737
1998,"county54",208095
1999,"county03",529846
1999,"county11",384984
1999,"county15",238793
1999,"county18",237554
1999,"county30",1017532
1999,"county34",356710
1999,"county38",386214
1999,"county42",264872
1999,"county46",554178
1999,"county50",406737
1999,"county54",208095
2000,"county03",529846
2000,"county11",384984
2000,"county15",238793
2000,"county18",237554
2000,"county30",1017532
2000,"county34",356710
2000,"county38",386214
2000,"county42",264872
2000,"county46",554178
2000,"county50",406737
2000,"county54",208095
2001,"county03",529846
2001,"county11",384984
2001,"county15",238793
2001,"county18",237554
2001,"county30",1017532
2001,"county34",356710
2001,"county38",386214
2001,"county42",264872
2001,"county46",554178
2001,"county50",406737
2001,"county54",208095
2002,"county03",529846
2002,"county11",384984
2002,"county15",238793
2002,"county18",237554
2002,"county30",1017532
2002,"county34",356710
2002,"county38",386214
2002,"county42",264872
2002,"county46",554178
2002,"county50",406737
2002,"county54",208095
2003,"county03",529846
2003,"county11",384984
2003,"county15",238793
2003,"county18",237554
2003,"county30",1017532
2003,"county34",356710
2003,"county38",386214
2003,"county42",264872
2003,"county46",554178
2003,"county50",406737
2003,"county54",208095
2004,"county03",529846
2004,"county11",384984
2004,"county15",238793
2004,"county18",237554
2004,"county30",1017532
2004,"county34",356710
2004,"county38",386214
2004,"county42",264872
2004,"county46",554178
2004,"county50",406737
2004,"county54",208095
2005,"county03",529846
2005,"county11",384984
2005,"county15",238793
2005,"county18",237554
2005,"county30",1017532
2005,"county34",356710
2005,"county38",386214
2005,"county42",264872
2005,"county46",554178
2005,"county50",406737
2005,"county54",208095
2006,"county03",538411
2006,"county11",397594
2006,"county15",242614
2006,"county18",236979
2006,"county30",1028034
2006,"county34",356885
2006,"county38",386966
2006,"county42",266401
2006,"county46",558055
2006,"county50",409811
2006,"county54",208655
2007,"county03",548617
2007,"county11",404566
2007,"county15",242990
2007,"county18",236136
2007,"county30",1040581
2007,"county34",356969
2007,"county38",388245
2007,"county42",268461
2007,"county46",561704
2007,"county50",413557
2007,"county54",208871
2008,"county03",560484
2008,"county11",412687
2008,"county15",244267
2008,"county18",235686
2008,"county30",1056562
2008,"county34",358072
2008,"county38",390667
2008,"county42",272074
2008,"county46",567722
2008,"county50",418581
2008,"county54",209264
2009,"county03",575475
2009,"county11",420574
2009,"county15",246262
2009,"county18",236093
2009,"county30",1072105
2009,"county34",359556
2009,"county38",393478
2009,"county42",275592
2009,"county46",574915
2009,"county50",423091
2009,"county54",210251
2010,"county03",586860
2010,"county11",427947
2010,"county15",248798
2010,"county18",236933
2010,"county30",1087168
2010,"county34",361057
2010,"county38",395653
2010,"county42",278876
2010,"county46",583028
2010,"county50",427772
2010,"county54",211458
2011,"county03",599230
2011,"county11",436087
2011,"county15",251389
2011,"county18",237957
2011,"county30",1103097
2011,"county34",362696
2011,"county38",398263
2011,"county42",282456
2011,"county46",590775
2011,"county50",431867
2011,"county54",212899
2012,"county03",613285
2012,"county11",443115
2012,"county15",254119
2012,"county18",238992
2012,"county30",1121610
2012,"county34",364679
2012,"county38",401106
2012,"county42",285819
2012,"county46",597551
2012,"county50",437031
2012,"county54",214128
2013,"county03",623966
2013,"county11",452159
2013,"county15",256975
2013,"county18",240311
2013,"county30",1139296
2013,"county34",365649
2013,"county38",403523
2013,"county42",289125
2013,"county46",605597
2013,"county50",442835
2013,"county54",236230
2014,"county03",634463
2014,"county11",459625
2014,"county15",259126
2014,"county18",241621
2014,"county30",1154995
2014,"county34",366785
2014,"county38",405561
2014,"county42",292225
2014,"county46",612988
2014,"county50",446926
2014,"county54",238513
2015,"county03",647676
2015,"county11",466302
2015,"county15",261339
2015,"county18",242398
2015,"county30",1169037
2015,"county34",368358
2015,"county38",407383
2015,"county42",295644
2015,"county46",619306
2015,"county50",451350
2015,"county54",240338
2016,"county03",658390
2016,"county11",470175
2016,"county15",262907
2016,"county18",242597
2016,"county30",1184361
2016,"county34",368636
2016,"county38",409459
2016,"county42",298486
2016,"county46",624827
2016,"county50",455308
2016,"county54",241371
2017,"county03",666759
2017,"county11",472024
2017,"county15",263847
2017,"county18",243574
2017,"county30",1199404
2017,"county34",369893
2017,"county38",413702
2017,"county42",300789
2017,"county46",629031
2017,"county50",460185
2017,"county54",243033
2018,"county03",673469
2018,"county11",473526
2018,"county15",264421
2018,"county18",244029
2018,"county30",1213729
2018,"county34",370994
2018,"county38",415777
2018,"county42",303754
2018,"county46",631594
2018,"county50",464328
2018,"county54",243925
2019,"county03",681071
2019,"county11",475654
2019,"county15",264970
2019,"county18",244051
2019,"county30",1227305
2019,"county34",371054
2019,"county38",417711
2019,"county42",305244
2019,"county46",633117
2019,"county50",467632
2019,"county54",244326
2020,"county03",693494
2020,"county11",479892
2020,"county15",265238
2020,"county18",241235
2020,"county30",1241165
2020,"county34",371385
2020,"county38",419396
2020,"county42",307231
2020,"county46",636531
2020,"county50",468702
2020,"county54",243311
2021,"county03",697010
2021,"county11",482645
2021,"county15",265544
2021,"county18",240345
2021,"county30",1252384
2021,"county34",370603
2021,"county38",421882
2021,"county42",308843
2021,"county46",638821
2021,"county50",471124
2021,"county54",242168
2022,"county03",699827
2022,"county11",485797
2022,"county15",265848
2022,"county18",240190
2022,"county30",1269230
2022,"county34",371253
2022,"county38",424832
2022,"county42",311134
2022,"county46",641292
2022,"county50",474131
2022,"county54",241736
